objeto,change_type,api_name,label,type,detail,picklist_value_label,picklist_value_api,picklist_value_active
Account,added,AccountNumber,Account Number,string,"{""label"":""Account Number"",""name"":""AccountNumber"",""custom"":false,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":40}",,,
Account,added,AnnualRevenue,Annual Revenue,currency,"{""label"":""Annual Revenue"",""name"":""AnnualRevenue"",""custom"":false,""picklistValues"":[],""referenceTo"":[],""type"":""currency"",""precision"":18,""scale"":0,""length"":0}",,,
Account,added,Fax,Account Fax,phone,"{""label"":""Account Fax"",""name"":""Fax"",""custom"":false,""picklistValues"":[],""referenceTo"":[],""type"":""phone"",""precision"":0,""scale"":0,""length"":40}",,,
Account,added,Ownership,Ownership,picklist,"{""label"":""Ownership"",""name"":""Ownership"",""custom"":false,""picklistValues"":[{""active"":true,""label"":""Public"",""value"":""Public""},{""active"":true,""label"":""Private"",""value"":""Private""},{""active"":true,""label"":""Subsidiary"",""value"":""Subsidiary""},{""active"":true,""label"":""Other"",""value"":""Other""}],""referenceTo"":[],""type"":""picklist"",""precision"":0,""scale"":0,""length"":255}",,,
Account,picklist_value_added,Ownership,Ownership,picklist,"{""active"":true,""label"":""Public"",""value"":""Public""}",Public,Public,True
Account,picklist_value_added,Ownership,Ownership,picklist,"{""active"":true,""label"":""Private"",""value"":""Private""}",Private,Private,True
Account,picklist_value_added,Ownership,Ownership,picklist,"{""active"":true,""label"":""Subsidiary"",""value"":""Subsidiary""}",Subsidiary,Subsidiary,True
Account,picklist_value_added,Ownership,Ownership,picklist,"{""active"":true,""label"":""Other"",""value"":""Other""}",Other,Other,True
Account,added,Rating,Account Rating,picklist,"{""label"":""Account Rating"",""name"":""Rating"",""custom"":false,""picklistValues"":[{""active"":true,""label"":""Hot"",""value"":""Hot""},{""active"":true,""label"":""Warm"",""value"":""Warm""},{""active"":true,""label"":""Cold"",""value"":""Cold""}],""referenceTo"":[],""type"":""picklist"",""precision"":0,""scale"":0,""length"":255}",,,
Account,picklist_value_added,Rating,Account Rating,picklist,"{""active"":true,""label"":""Hot"",""value"":""Hot""}",Hot,Hot,True
Account,picklist_value_added,Rating,Account Rating,picklist,"{""active"":true,""label"":""Warm"",""value"":""Warm""}",Warm,Warm,True
Account,picklist_value_added,Rating,Account Rating,picklist,"{""active"":true,""label"":""Cold"",""value"":""Cold""}",Cold,Cold,True
Account,added,Sic,SIC Code,string,"{""label"":""SIC Code"",""name"":""Sic"",""custom"":false,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":20}",,,
Account,added,Site,Account Site,string,"{""label"":""Account Site"",""name"":""Site"",""custom"":false,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":80}",,,
Account,added,TickerSymbol,Ticker Symbol,string,"{""label"":""Ticker Symbol"",""name"":""TickerSymbol"",""custom"":false,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":20}",,,
Account,added,pz_AddressIdentityConcatenated__c,Address Identity Concatenated,string,"{""label"":""Address Identity Concatenated"",""name"":""pz_AddressIdentityConcatenated__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":255}",,,
Case,added,IsClosedOnCreate,Closed When Created,boolean,"{""label"":""Closed When Created"",""name"":""IsClosedOnCreate"",""custom"":false,""picklistValues"":[],""referenceTo"":[],""type"":""boolean"",""precision"":0,""scale"":0,""length"":0}",,,
Case,added,pz_ExtensionDetail__c,Detalle de prórroga,textarea,"{""label"":""Detalle de prórroga"",""name"":""pz_ExtensionDetail__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""textarea"",""precision"":0,""scale"":0,""length"":32768}",,,
Case,added,pz_ExtensionEndDatetime__c,Fecha/hora de fin de prórroga,datetime,"{""label"":""Fecha/hora de fin de prórroga"",""name"":""pz_ExtensionEndDatetime__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""datetime"",""precision"":0,""scale"":0,""length"":0}",,,
Case,added,pz_ExtensionReason__c,Motivo de prórroga,picklist,"{""label"":""Motivo de prórroga"",""name"":""pz_ExtensionReason__c"",""custom"":true,""picklistValues"":[{""active"":true,""label"":""Flexibilidad de pago"",""value"":""Flexibilidad de pago""},{""active"":true,""label"":""Gestión de facturación"",""value"":""Gestión de facturación""}],""referenceTo"":[],""type"":""picklist"",""precision"":0,""scale"":0,""length"":255}",,,
Case,picklist_value_added,pz_ExtensionReason__c,Motivo de prórroga,picklist,"{""active"":true,""label"":""Flexibilidad de pago"",""value"":""Flexibilidad de pago""}",Flexibilidad de pago,Flexibilidad de pago,True
Case,picklist_value_added,pz_ExtensionReason__c,Motivo de prórroga,picklist,"{""active"":true,""label"":""Gestión de facturación"",""value"":""Gestión de facturación""}",Gestión de facturación,Gestión de facturación,True
Case,added,pz_ExtensionStartDatetime__c,Fecha/hora de inicio de prórroga,datetime,"{""label"":""Fecha/hora de inicio de prórroga"",""name"":""pz_ExtensionStartDatetime__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""datetime"",""precision"":0,""scale"":0,""length"":0}",,,
Contract,added,Name,Contract Name,string,"{""label"":""Contract Name"",""name"":""Name"",""custom"":false,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":80}",,,
Party_Relationship,added,CreatedById,Created By ID,reference,"{""label"":""Created By ID"",""name"":""CreatedById"",""custom"":false,""picklistValues"":[],""referenceTo"":[""User""],""type"":""reference"",""precision"":0,""scale"":0,""length"":18}",,,
Party_Relationship,added,CreatedDate,Created Date,datetime,"{""label"":""Created Date"",""name"":""CreatedDate"",""custom"":false,""picklistValues"":[],""referenceTo"":[],""type"":""datetime"",""precision"":0,""scale"":0,""length"":0}",,,
Party_Relationship,added,CurrencyIsoCode,Currency ISO Code,picklist,"{""label"":""Currency ISO Code"",""name"":""CurrencyIsoCode"",""custom"":false,""picklistValues"":[{""active"":true,""label"":""Peruvian Sol"",""value"":""PEN""},{""active"":true,""label"":""U.S. Dollar"",""value"":""USD""}],""referenceTo"":[],""type"":""picklist"",""precision"":0,""scale"":0,""length"":3}",,,
Party_Relationship,picklist_value_added,CurrencyIsoCode,Currency ISO Code,picklist,"{""active"":true,""label"":""Peruvian Sol"",""value"":""PEN""}",Peruvian Sol,PEN,True
Party_Relationship,picklist_value_added,CurrencyIsoCode,Currency ISO Code,picklist,"{""active"":true,""label"":""U.S. Dollar"",""value"":""USD""}",U.S. Dollar,USD,True
Party_Relationship,added,Id,Record ID,id,"{""label"":""Record ID"",""name"":""Id"",""custom"":false,""picklistValues"":[],""referenceTo"":[],""type"":""id"",""precision"":0,""scale"":0,""length"":18}",,,
Party_Relationship,added,IsDeleted,Deleted,boolean,"{""label"":""Deleted"",""name"":""IsDeleted"",""custom"":false,""picklistValues"":[],""referenceTo"":[],""type"":""boolean"",""precision"":0,""scale"":0,""length"":0}",,,
Party_Relationship,added,LastActivityDate,Last Activity Date,date,"{""label"":""Last Activity Date"",""name"":""LastActivityDate"",""custom"":false,""picklistValues"":[],""referenceTo"":[],""type"":""date"",""precision"":0,""scale"":0,""length"":0}",,,
Party_Relationship,added,LastModifiedById,Last Modified By ID,reference,"{""label"":""Last Modified By ID"",""name"":""LastModifiedById"",""custom"":false,""picklistValues"":[],""referenceTo"":[""User""],""type"":""reference"",""precision"":0,""scale"":0,""length"":18}",,,
Party_Relationship,added,LastModifiedDate,Last Modified Date,datetime,"{""label"":""Last Modified Date"",""name"":""LastModifiedDate"",""custom"":false,""picklistValues"":[],""referenceTo"":[],""type"":""datetime"",""precision"":0,""scale"":0,""length"":0}",,,
Party_Relationship,added,Name,Relationships Name,string,"{""label"":""Relationships Name"",""name"":""Name"",""custom"":false,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":80}",,,
Party_Relationship,added,OwnerId,Owner ID,reference,"{""label"":""Owner ID"",""name"":""OwnerId"",""custom"":false,""picklistValues"":[],""referenceTo"":[""Group"",""User""],""type"":""reference"",""precision"":0,""scale"":0,""length"":18}",,,
Party_Relationship,added,PZ_RDEAsociated__c,Afiliación a RDE,boolean,"{""label"":""Afiliación a RDE"",""name"":""PZ_RDEAsociated__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""boolean"",""precision"":0,""scale"":0,""length"":0}",,,
Party_Relationship,added,SystemModstamp,System Modstamp,datetime,"{""label"":""System Modstamp"",""name"":""SystemModstamp"",""custom"":false,""picklistValues"":[],""referenceTo"":[],""type"":""datetime"",""precision"":0,""scale"":0,""length"":0}",,,
Party_Relationship,added,pz_AuthorizedShareOfPersonalInfoDate__c,Autoriza Compartir Datos Personales,datetime,"{""label"":""Autoriza Compartir Datos Personales"",""name"":""pz_AuthorizedShareOfPersonalInfoDate__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""datetime"",""precision"":0,""scale"":0,""length"":0}",,,
Party_Relationship,added,pz_ConsentConditionsAndPrivacy__c,Consentimiento condiciones de privacidad,boolean,"{""label"":""Consentimiento condiciones de privacidad"",""name"":""pz_ConsentConditionsAndPrivacy__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""boolean"",""precision"":0,""scale"":0,""length"":0}",,,
Party_Relationship,added,pz_ConsentTermsAditionals__c,Consentimientos para otras finalidades,boolean,"{""label"":""Consentimientos para otras finalidades"",""name"":""pz_ConsentTermsAditionals__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""boolean"",""precision"":0,""scale"":0,""length"":0}",,,
Party_Relationship,added,pz_ConsentTermsAndConditions__c,Consentimiento terminos y condiciones,boolean,"{""label"":""Consentimiento terminos y condiciones"",""name"":""pz_ConsentTermsAndConditions__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""boolean"",""precision"":0,""scale"":0,""length"":0}",,,
Party_Relationship,added,pz_CopyRDAffiliationDate__c,Fecha de Afiliación a Copia RD,date,"{""label"":""Fecha de Afiliación a Copia RD"",""name"":""pz_CopyRDAffiliationDate__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""date"",""precision"":0,""scale"":0,""length"":0}",,,
Party_Relationship,added,pz_CopyRDDisaffiliationDate__c,Fecha de Desafiliación a Copia RD,date,"{""label"":""Fecha de Desafiliación a Copia RD"",""name"":""pz_CopyRDDisaffiliationDate__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""date"",""precision"":0,""scale"":0,""length"":0}",,,
Party_Relationship,added,pz_DisaffiliationReason__c,Sustento Desafiliación,textarea,"{""label"":""Sustento Desafiliación"",""name"":""pz_DisaffiliationReason__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""textarea"",""precision"":0,""scale"":0,""length"":255}",,,
Party_Relationship,added,pz_Mobile__c,Celular,phone,"{""label"":""Celular"",""name"":""pz_Mobile__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""phone"",""precision"":0,""scale"":0,""length"":40}",,,
Party_Relationship,added,pz_PluzId__c,Código Pluz,string,"{""label"":""Código Pluz"",""name"":""pz_PluzId__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":255}",,,
Party_Relationship,added,pz_RDCopy__c,Copia RD,boolean,"{""label"":""Copia RD"",""name"":""pz_RDCopy__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""boolean"",""precision"":0,""scale"":0,""length"":0}",,,
Party_Relationship,added,pz_RDEAffiliationDate__c,Fecha de Afiliación a RDE,date,"{""label"":""Fecha de Afiliación a RDE"",""name"":""pz_RDEAffiliationDate__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""date"",""precision"":0,""scale"":0,""length"":0}",,,
Party_Relationship,added,pz_RDEBusinessEmail__c,Email Recibo Digital Empresarial,email,"{""label"":""Email Recibo Digital Empresarial"",""name"":""pz_RDEBusinessEmail__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""email"",""precision"":0,""scale"":0,""length"":80}",,,
Party_Relationship,added,pz_RDEDisaffiliationDate__c,Fecha de Desafiliación a RDE,date,"{""label"":""Fecha de Desafiliación a RDE"",""name"":""pz_RDEDisaffiliationDate__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""date"",""precision"":0,""scale"":0,""length"":0}",,,
Party_Relationship,added,pz_RDEEmail__c,Email Recibo Digital,email,"{""label"":""Email Recibo Digital"",""name"":""pz_RDEEmail__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""email"",""precision"":0,""scale"":0,""length"":80}",,,
Party_Relationship,added,pz_Title__c,Cargo,string,"{""label"":""Cargo"",""name"":""pz_Title__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":80}",,,
Party_Relationship,added,pz_email__c,Correo Electrónico,email,"{""label"":""Correo Electrónico"",""name"":""pz_email__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""email"",""precision"":0,""scale"":0,""length"":80}",,,
Party_Relationship,added,pz_phone__c,Telefono,phone,"{""label"":""Telefono"",""name"":""pz_phone__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""phone"",""precision"":0,""scale"":0,""length"":40}",,,
Party_Relationship,added,vlocity_cmt__Color__c,Color,string,"{""label"":""Color"",""name"":""vlocity_cmt__Color__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""string"",""precision"":0,""scale"":0,""length"":1300}",,,
Party_Relationship,added,vlocity_cmt__Comment__c,Comment,textarea,"{""label"":""Comment"",""name"":""vlocity_cmt__Comment__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""textarea"",""precision"":0,""scale"":0,""length"":32768}",,,
Party_Relationship,added,vlocity_cmt__InfluenceScore__c,Influence Score,double,"{""label"":""Influence Score"",""name"":""vlocity_cmt__InfluenceScore__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""double"",""precision"":2,""scale"":0,""length"":0}",,,
Party_Relationship,added,vlocity_cmt__IsActive__c,Active,boolean,"{""label"":""Active"",""name"":""vlocity_cmt__IsActive__c"",""custom"":true,""picklistValues"":[],""referenceTo"":[],""type"":""boolean"",""precision"":0,""scale"":0,""length"":0}",,,
